mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
6.8182167410850525,2.6305856618136643,0.18617653846740723,0.07633211219525715,200,10,4,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",0.8049261083743842,0.7222222222222222,0.7448497448497449,0.8304761904761905,0.7756185664806354,0.04377836476790811,3
5.184230268001556,1.2148467299690051,0.12255859375,0.05235371627213725,200,10,1,sqrt,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",0.7752247752247752,0.60625,0.6892980437284235,0.7030633909614801,0.6934590524786697,0.06000126990725359,9
171.35502010583878,2.712261298198787,0.06575322151184082,0.008500876971108292,500,10,2,0.5,20,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",0.8308270676691729,0.7466984195713358,0.7719594594594594,0.7406759906759907,0.7725402343439897,0.03563994126616219,5
140.24559211730957,3.4855446038010123,0.08982372283935547,0.02782855402930664,300,10,2,0.5,40,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 40}",0.8561315368805663,0.76,0.7959183673469388,0.7753155680224404,0.7968413680624864,0.036526779617415475,1
125.82006859779358,2.3023455308701264,0.12613141536712646,0.015212755847549348,300,5,4,0.5,40,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 40}",0.8403940886699508,0.7217068645640075,0.7872340425531914,0.7457142857142858,0.7737623203753587,0.04504925796441383,4
12.054860293865204,3.473605018585902,0.11440199613571167,0.0072804156471673875,300,5,2,sqrt,40,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 40}",0.7885338345864662,0.6153846153846154,0.7752247752247752,0.6888111888111889,0.7169886035017614,0.07004910578992032,8
9.669194281101227,3.4516018489851925,0.1857154369354248,0.015958959723996986,500,10,4,log2,40,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 40}",0.4725028058361392,0.48250000000000004,0.41045606229143494,0.5239399869536856,0.4723497137703149,0.04060613293656831,10
102.87071251869202,11.23103336647641,0.17388027906417847,0.18377775164132987,200,10,2,0.5,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",0.8561315368805663,0.7466984195713358,0.7719594594594594,0.7591991341991342,0.7834971375276238,0.04287602066874054,2
5.996270775794983,1.1260312251243623,0.13694673776626587,0.04352742496795406,200,2,2,sqrt,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7603485838779956,0.6634615384615384,0.7603485838779956,0.6888111888111889,0.7182424737571796,0.04304939147203448,7
5.607998609542847,0.7255890869991373,0.1940058469772339,0.023249396864696063,500,5,1,log2,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",0.7159090909090909,0.7336033650101261,0.7336033650101261,0.7657894736842106,0.7372263236533885,0.01800367747308437,6
